Lunar Terrain Model
Lat: 31.5927 deg;Lng: 29.1079 deg;Elev: -2547 m;Azimuth: -87.00 deg
Distance in meters;Elevation in meters
-13563.600000;-384.042253
-13594.080000;-378.284694
-13624.560000;-372.497100
-13655.040000;-357.621696
-13685.520000;-339.832063
-13716.000000;-327.608100
-13746.480000;-322.698076
-13776.960000;-316.347851
-13807.440000;-298.268541
-13837.920000;-280.263844
-13868.400000;-264.833499
-13898.880000;-250.137441
-13929.360000;-236.054032
-13959.840000;-222.702172
-13990.320000;-209.350206
-14020.800000;-195.998136
-14051.280000;-182.645961
-14081.760000;-168.951203
-14112.240000;-155.169088
-14142.720000;-141.379343
-14173.200000;-127.570052
-14203.680000;-113.627370
-14234.160000;-98.968037
-14264.640000;-84.308601
-14295.120000;-69.605618
-14325.600000;-54.879211
-14356.080000;-39.750993
-14386.560000;-24.214367
-14417.040000;-8.621538
-14447.520000;7.253369
-14478.000000;23.113507
-14508.480000;39.317625
-14538.960000;55.577977
-14569.440000;71.605358
-14599.920000;87.406470
-14630.400000;103.037453
-14660.880000;117.949607
-14691.360000;132.847026
-14721.840000;143.926318
-14752.320000;154.325834
-14782.800000;168.590705
-14813.280000;186.415154
-14843.760000;204.145799
-14874.240000;221.250892
-14904.720000;238.474655
-14935.200000;246.661833
-14965.680000;253.536712
-14996.160000;260.538760
-15026.640000;267.637656
-15057.120000;274.882954
-15087.600000;282.659544
-15118.080000;290.450987
-15148.560000;298.407773
-15179.040000;306.383644
-15209.520000;314.428418
-15240.000000;322.549397
-15270.480000;330.699987
-15300.960000;338.880178
-15331.440000;347.089962
-15361.920000;355.435919
-15392.400000;363.807741
-15422.880000;372.134644
-15453.360000;380.445518
-15483.840000;388.697902
-15514.320000;396.716303
-15544.800000;404.749478
-15575.280000;413.075627
-15605.760000;421.465852
-15636.240000;429.930846
-15666.720000;438.448320
-15697.200000;446.876471
-15727.680000;455.023128
-15758.160000;463.199238
-15788.640000;471.404791
-15819.120000;479.639777
-15849.600000;487.099294
-15880.080000;494.086729
-15910.560000;499.446888
-15941.040000;500.881108
-15971.520000;502.330003
-16002.000000;497.928109
-16032.480000;493.337558
-16062.960000;487.367627
-16093.440000;480.628209
-16123.920000;474.024140
-16154.400000;467.714405
-16184.880000;461.404631
-16215.360000;455.856104
-16245.840000;450.302084
-16276.320000;445.086174
-16306.800000;440.048471
-16337.280000;435.114842
-16367.760000;430.378613
-16398.240000;425.631939
-16428.720000;421.436585
-16459.200000;417.241203
-16489.680000;412.753261
-16520.160000;408.128057
-16550.640000;403.654888
-16581.120000;399.459394
-16611.600000;395.263871
-16642.080000;391.068321
-16672.560000;386.872743
-16703.040000;382.532707
-16733.520000;378.118358
-16764.000000;373.849799
-16794.480000;369.835939
-16824.960000;365.809365
-16855.440000;361.822793
-16885.920000;357.850802
-16916.400000;353.832170
-16946.880000;349.779163
-16977.360000;346.049186
-17007.840000;342.826500
-17038.320000;339.636493
-17068.800000;337.108749
-17099.280000;334.580990
-17129.760000;332.281234
-17160.240000;330.074585
-17190.720000;327.926506
-17221.200000;325.845409
-17251.680000;323.772183
-17282.160000;321.775323
-17312.640000;319.763891
-17343.120000;317.684515
-17373.600000;315.586404
-17404.080000;313.673945
-17434.560000;312.005584
-17465.040000;310.251103
-17495.520000;307.756385
-17526.000000;305.247121
-17556.480000;302.358455
-17586.960000;299.377240
-17617.440000;296.220876
-17647.920000;292.823645
-17678.400000;289.474876
-17708.880000;286.500166
-17739.360000;283.525445
-17769.840000;279.864654
-17800.320000;276.030346
-17830.800000;272.398621
-17861.280000;268.994073
-17891.760000;265.651677
-17922.240000;262.676891
-17952.720000;259.702094
-17983.200000;257.363217
-18013.680000;255.152761
-18044.160000;252.764141
-18074.640000;250.202254
-18105.120000;247.711026
-18135.600000;245.578913
-18166.080000;243.446794
-18196.560000;241.563552
-18227.040000;239.715248
-18257.520000;237.783242
-18288.000000;235.792341
-18318.480000;233.835526
-18348.960000;231.963033
-18379.440000;230.076099
-18409.920000;228.331857
-18440.400000;226.612689
-18470.880000;224.893519
-18501.360000;223.174348
-18531.840000;221.367443
-18562.320000;219.218475
-18592.800000;217.069505
-18623.280000;215.297647
-18653.760000;213.578467
-18684.240000;211.859285
-18714.720000;210.140102
-18745.200000;208.362104
-18775.680000;206.371607
-18806.160000;204.366720
-18836.640000;202.602378
-18867.120000;200.866456
-18897.600000;198.960202
-18928.080000;196.914529
-18958.560000;195.007169
-18989.040000;193.576318
-19019.520000;192.159837
-19050.000000;190.845251
-19080.480000;189.539145
-19110.960000;187.979158
-19141.440000;186.243256
-19171.920000;184.560198
-19202.400000;182.997223
-19232.880000;181.391230
-19263.360000;179.975664
-19293.840000;178.588241
-19324.320000;177.252861
-19354.800000;175.932768
-19385.280000;174.593665
-19415.760000;173.237610
-19446.240000;171.881570
-19476.720000;170.504596
-19507.200000;169.094047
-19537.680000;167.408043
-19568.160000;165.572334
-19598.640000;163.485333
-19629.120000;160.832932
-19659.600000;158.194849
-19690.080000;155.571080
-19720.560000;152.961619
-19751.040000;150.646270
-19781.520000;148.495220
-19812.000000;146.219034
-19842.480000;143.666754
-19872.960000;141.128758
-19903.440000;138.929177
-19933.920000;136.730336
-19964.400000;134.611527
-19994.880000;132.543840
-20025.360000;130.490415
-20055.840000;128.451247
-20086.320000;126.431416
-20116.800000;124.695586
-20147.280000;122.959759
-20177.760000;121.043652
-20208.240000;119.059134
-20238.720000;117.178789
-20269.200000;115.459519
-20299.680000;113.723785
-20330.160000;111.574694
-20360.640000;109.425601
-20391.120000;107.582425
-20421.600000;105.863148
-20452.080000;104.068085
-20482.560000;102.161893
-20513.040000;100.295097
-20543.520000;98.847114
-20574.000000;97.413317
-20604.480000;95.600483
-20634.960000;93.633349
-20665.440000;91.707043
-20695.920000;89.867132
-20726.400000;88.051889
-20756.880000;86.365564
-20787.360000;84.679230
-20817.840000;82.992885
-20848.320000;81.306532
-20878.800000;79.761725
-20909.280000;78.417783
-20939.760000;77.309934
-20970.240000;78.218962
-21000.720000;79.127978
-21031.200000;81.650050
-21061.680000;84.658601
-21092.160000;87.489404
-21122.640000;90.096369
-21153.120000;92.816451
-21183.600000;96.285355
-21214.080000;99.782485
-21244.560000;102.635839
-21275.040000;105.329740
-21305.520000;108.645816
-21336.000000;112.678408
-21366.480000;117.073056
-21396.960000;123.684573
-21427.440000;130.296057
-21457.920000;137.547473
-21488.400000;144.919611
-21518.880000;149.614089
-21549.360000;151.525748
-21579.840000;153.223015
-21610.320000;153.727188
-21640.800000;154.217253
-21671.280000;154.693213
-21701.760000;155.155076
-21732.240000;155.435299
-21762.720000;155.549785
-21793.200000;155.721571
-21823.680000;156.143438
-21854.160000;156.551227
-21884.640000;157.312507
-21915.120000;158.121998
-21945.600000;158.769071
-21976.080000;159.280549
-22006.560000;159.792007
-22037.040000;160.303446
-22067.520000;160.814866
-22098.000000;161.541316
-22128.480000;162.285100
-22158.960000;162.887655
-22189.440000;163.382698
-22219.920000;163.926217
-22250.400000;164.630187
-22280.880000;165.320141
-22311.360000;165.996082
-22341.840000;166.658016
-22372.320000;167.342886
-22402.800000;168.063579
-22433.280000;168.775643
-22463.760000;169.414128
-22494.240000;170.038622
-22524.720000;170.908056
-22555.200000;171.800258
-22585.680000;172.692452
-22616.160000;173.584640
-22646.640000;174.394778
-22677.120000;174.967914
-22707.600000;175.527088
-22738.080000;176.382946
-22768.560000;177.258873
-22799.040000;178.134798
-22829.520000;179.010719
-22860.000000;179.886637
-22890.480000;180.762552
-22920.960000;181.638464
-22951.440000;182.514372
-22981.920000;183.390278
-23012.400000;184.266180
-23042.880000;185.142080
-23073.360000;186.017976
-23103.840000;186.893869
-23134.320000;187.769759
-23164.800000;188.646843
-23195.280000;189.508202
-23225.760000;190.376202
-23256.240000;191.260082
-23286.720000;192.140469
-23317.200000;192.980555
-23347.680000;193.806754
-23378.160000;194.619072
-23408.640000;195.417514
-23439.120000;195.912163
-23469.600000;196.253006
-23500.080000;196.359174
-23530.560000;196.066031
-23561.040000;195.796736
-23591.520000;195.366874
-23622.000000;194.937011
-23652.480000;194.507148
-23682.960000;194.077284
-23713.440000;193.693057
-23743.920000;193.396295
-23774.400000;193.138419
-23804.880000;193.439695
-23835.360000;193.727138
-23865.840000;194.422126
-23896.320000;195.281859
-23926.800000;196.175074
-23957.280000;197.101402
-23987.760000;198.000106
-24018.240000;198.871197
-24048.720000;199.714684
-24079.200000;200.353500
-24109.680000;200.937714
-24140.160000;201.445097
-24170.640000;201.826839
-24201.120000;202.245160
-24231.600000;203.056797
-24262.080000;203.868448
-24292.560000;204.873466
-24323.040000;205.952078
-24353.520000;206.928302
-24384.000000;207.756018
-24414.480000;208.599416
-24444.960000;209.567047
-24475.440000;210.520930
-24505.920000;211.598446
-24536.400000;212.725452
-24566.880000;213.773826
-24597.360000;214.704735
-24627.840000;215.664042
-24658.320000;216.905734
-24688.800000;218.147439
-24719.280000;219.389158
-24749.760000;220.630889
-24780.240000;221.699346
-24810.720000;222.566157
-24841.200000;223.475571
-24871.680000;224.701403
-24902.160000;225.927252
-24932.640000;226.824839
-24963.120000;227.639118
-24993.600000;228.439714
-25024.080000;229.226632
-25054.560000;230.072414
-25085.040000;231.278634
-25115.520000;232.486272
-25146.000000;233.680244
-25176.480000;234.860557
-25206.960000;235.820655
-25237.440000;236.584999
-25267.920000;237.340845
-25298.400000;238.052579
-25328.880000;238.750675
-25359.360000;239.491387
-25389.840000;240.239969
-25420.320000;240.946175
-25450.800000;241.605642
-25481.280000;242.251491
-25511.760000;242.883728
-25542.240000;243.502358
-25572.720000;244.007391
-25603.200000;244.473183
-25633.680000;244.741660
-25664.160000;244.860173
-25694.640000;244.899486
-25725.120000;244.693968
-25755.600000;244.447650
-25786.080000;244.259510
-25816.560000;244.014643
-25847.040000;244.553664
-25877.520000;245.647400
-25908.000000;247.414745
-25938.480000;251.296682
-25968.960000;255.205902
-25999.440000;259.554857
-26029.920000;263.936072
-26060.400000;268.710582
-26090.880000;273.754404
-26121.360000;278.681414
-26151.840000;283.264787
-26182.320000;287.834680
-26212.800000;292.468384
-26243.280000;297.119044
-26273.760000;300.909449
-26304.240000;304.167305
-26334.720000;307.198669
-26365.200000;309.708214
-26395.680000;312.190759
-26426.160000;314.646314
-26456.640000;317.074890
-26487.120000;319.681209
-26517.600000;322.383544
-26548.080000;324.934635
-26578.560000;327.180230
-26609.040000;329.412413
-26639.520000;331.045450
-26670.000000;332.688788
-26700.480000;334.102545
-26730.960000;335.397982
-26761.440000;336.822694
-26791.920000;338.504788
-26822.400000;340.194164
-26852.880000;341.505729
-26883.360000;342.817399
-26913.840000;343.845465
-26944.320000;344.734832
-26974.800000;345.608891
-27005.280000;346.478725
-27035.760000;347.360699
-27066.240000;348.227928
-27096.720000;349.081793
-27127.200000;349.596075
-27157.680000;349.953430
-27188.160000;350.283980
-27218.640000;350.587737
-27249.120000;350.842338
-27279.600000;350.725031
-27310.080000;350.594404
-27340.560000;350.710517
-27371.040000;350.896083
-27401.520000;351.477833
-27432.000000;352.666428
-27462.480000;353.890218
